Time,hhmm,VOLUME
2021-04-16 13:20:00,13:20,355105
2021-04-16 13:30:00,13:30,514411
2021-04-16 13:40:00,13:40,318676
2021-04-16 13:50:00,13:50,542472
2021-04-16 14:00:00,14:00,872478
2021-04-16 14:10:00,14:10,1084808
2021-04-16 14:20:00,14:20,555158
2021-04-16 14:30:00,14:30,1041958
2021-04-16 14:40:00,14:40,422309
2021-04-16 14:50:00,14:50,920915
2021-04-16 15:00:00,15:00,497574
2021-04-16 15:10:00,15:10,615660
2021-04-16 15:20:00,15:20,653043
2021-04-16 15:30:00,15:30,448386
2021-04-16 15:40:00,15:40,615791
2021-04-16 15:50:00,15:50,1516956
2021-04-16 16:00:00,16:00,2758225
2021-04-19 09:40:00,09:40,1998614
2021-04-19 09:50:00,09:50,1104869
2021-04-19 10:00:00,10:00,709134
2021-04-19 10:10:00,10:10,1707987
2021-04-19 10:20:00,10:20,1825820
2021-04-19 10:30:00,10:30,892111
2021-04-19 10:40:00,10:40,1107160
2021-04-19 10:50:00,10:50,1514612
2021-04-19 11:00:00,11:00,1248228
2021-04-19 11:10:00,11:10,826809
2021-04-19 11:20:00,11:20,747284
2021-04-19 11:30:00,11:30,604628
2021-04-19 11:40:00,11:40,873861
2021-04-19 11:50:00,11:50,1354236
2021-04-19 12:00:00,12:00,785952
2021-04-19 12:10:00,12:10,1006916
2021-04-19 12:20:00,12:20,659756
2021-04-19 12:30:00,12:30,889777
2021-04-19 12:40:00,12:40,913004
2021-04-19 12:50:00,12:50,883379
2021-04-19 13:00:00,13:00,456488
2021-04-19 13:10:00,13:10,440964
2021-04-19 13:20:00,13:20,522616
2021-04-19 13:30:00,13:30,402366
2021-04-19 13:40:00,13:40,409027
2021-04-19 13:50:00,13:50,282325
2021-04-19 14:00:00,14:00,383528
2021-04-19 14:10:00,14:10,457703
2021-04-19 14:20:00,14:20,295030
2021-04-19 14:30:00,14:30,416539
2021-04-19 14:40:00,14:40,530963
2021-04-19 14:50:00,14:50,576346
2021-04-19 15:00:00,15:00,483554
2021-04-19 15:10:00,15:10,407828
2021-04-19 15:20:00,15:20,413909
2021-04-19 15:30:00,15:30,1101527
2021-04-19 15:40:00,15:40,762167
2021-04-19 15:50:00,15:50,742724
2021-04-19 16:00:00,16:00,2162955
2021-04-20 09:40:00,09:40,1857001
2021-04-20 09:50:00,09:50,1249830
2021-04-20 10:00:00,10:00,1046192
2021-04-20 10:10:00,10:10,935638
2021-04-20 10:20:00,10:20,979875
2021-04-20 10:30:00,10:30,576321
2021-04-20 10:40:00,10:40,1072886
2021-04-20 10:50:00,10:50,1687838
2021-04-20 11:00:00,11:00,2184062
2021-04-20 11:10:00,11:10,1028155
2021-04-20 11:20:00,11:20,1796310
2021-04-20 11:30:00,11:30,1882488
2021-04-20 11:40:00,11:40,1515042
2021-04-20 11:50:00,11:50,1038658
2021-04-20 12:00:00,12:00,759978
2021-04-20 12:10:00,12:10,656127
2021-04-20 12:20:00,12:20,564874
2021-04-20 12:30:00,12:30,538111
2021-04-20 12:40:00,12:40,637663
2021-04-20 12:50:00,12:50,551308
2021-04-20 13:00:00,13:00,559628
2021-04-20 13:10:00,13:10,455109
2021-04-20 13:20:00,13:20,378124
2021-04-20 13:30:00,13:30,1117694
2021-04-20 13:40:00,13:40,903072
2021-04-20 13:50:00,13:50,505877
2021-04-20 14:00:00,14:00,821176
2021-04-20 14:10:00,14:10,684662
2021-04-20 14:20:00,14:20,381556
2021-04-20 14:30:00,14:30,330578
2021-04-20 14:40:00,14:40,463699
2021-04-20 14:50:00,14:50,320607
2021-04-20 15:00:00,15:00,562528
2021-04-20 15:10:00,15:10,785910
2021-04-20 15:20:00,15:20,465388
2021-04-20 15:30:00,15:30,273953
2021-04-20 15:40:00,15:40,525301
2021-04-20 15:50:00,15:50,1603088
2021-04-20 16:00:00,16:00,1653418
2021-04-21 09:40:00,09:40,1728736
2021-04-21 09:50:00,09:50,2074143
2021-04-21 10:00:00,10:00,2204411
2021-04-21 10:10:00,10:10,1266430
2021-04-21 10:20:00,10:20,869903
2021-04-21 10:30:00,10:30,2049528
2021-04-21 10:40:00,10:40,1181922
2021-04-21 10:50:00,10:50,1308857
2021-04-21 11:00:00,11:00,924669
2021-04-21 11:10:00,11:10,856738
2021-04-21 11:20:00,11:20,1015494
2021-04-21 11:30:00,11:30,1247035
2021-04-21 11:40:00,11:40,756993
2021-04-21 11:50:00,11:50,786516
2021-04-21 12:00:00,12:00,941163
2021-04-21 12:10:00,12:10,420702
2021-04-21 12:20:00,12:20,365695
2021-04-21 12:30:00,12:30,395522
2021-04-21 12:40:00,12:40,354764
2021-04-21 12:50:00,12:50,297622
2021-04-21 13:00:00,13:00,375340
2021-04-21 13:10:00,13:10,546857
2021-04-21 13:20:00,13:20,386564
2021-04-21 13:30:00,13:30,390557
2021-04-21 13:40:00,13:40,237869
2021-04-21 13:50:00,13:50,320500
2021-04-21 14:00:00,14:00,375183
2021-04-21 14:10:00,14:10,445355
2021-04-21 14:20:00,14:20,352752
2021-04-21 14:30:00,14:30,353994
2021-04-21 14:40:00,14:40,545422
2021-04-21 14:50:00,14:50,276394
2021-04-21 15:00:00,15:00,177791
2021-04-21 15:10:00,15:10,321812
2021-04-21 15:20:00,15:20,363622
2021-04-21 15:30:00,15:30,744029
2021-04-21 15:40:00,15:40,1070553
2021-04-21 15:50:00,15:50,1626907
2021-04-21 16:00:00,16:00,3516793
2021-04-22 09:40:00,09:40,1509032
2021-04-22 09:50:00,09:50,1249468
2021-04-22 10:00:00,10:00,943483
2021-04-22 10:10:00,10:10,1108483
2021-04-22 10:20:00,10:20,896743
2021-04-22 10:30:00,10:30,960645
2021-04-22 10:40:00,10:40,679937
2021-04-22 10:50:00,10:50,579688
2021-04-22 11:00:00,11:00,706582
2021-04-22 11:10:00,11:10,981011
2021-04-22 11:20:00,11:20,388635
2021-04-22 11:30:00,11:30,596693
2021-04-22 11:40:00,11:40,544954
2021-04-22 11:50:00,11:50,424449
2021-04-22 12:00:00,12:00,623281
2021-04-22 12:10:00,12:10,811501
2021-04-22 12:20:00,12:20,487753
2021-04-22 12:30:00,12:30,548516
2021-04-22 12:40:00,12:40,355603
2021-04-22 12:50:00,12:50,337874
2021-04-22 13:00:00,13:00,544680
2021-04-22 13:10:00,13:10,2327072
2021-04-22 13:20:00,13:20,3018917
2021-04-22 13:30:00,13:30,2519296
2021-04-22 13:40:00,13:40,1261043
2021-04-22 13:50:00,13:50,1800316
2021-04-22 14:00:00,14:00,2088722
2021-04-22 14:10:00,14:10,2358361
2021-04-22 14:20:00,14:20,1200524
2021-04-22 14:30:00,14:30,865908
2021-04-22 14:40:00,14:40,1079531
2021-04-22 14:50:00,14:50,934888
2021-04-22 15:00:00,15:00,1120876
2021-04-22 15:10:00,15:10,1332712
2021-04-22 15:20:00,15:20,759992
2021-04-22 15:30:00,15:30,1210505
2021-04-22 15:40:00,15:40,1033706
2021-04-22 15:50:00,15:50,1331690
2021-04-22 16:00:00,16:00,2705181
2021-04-23 09:40:00,09:40,1605064
2021-04-23 09:50:00,09:50,1020912
2021-04-23 10:00:00,10:00,919767
2021-04-23 10:10:00,10:10,686462
2021-04-23 10:20:00,10:20,766421
2021-04-23 10:30:00,10:30,629273
2021-04-23 10:40:00,10:40,1333530
2021-04-23 10:50:00,10:50,821601
2021-04-23 11:00:00,11:00,830793
2021-04-23 11:10:00,11:10,750782
2021-04-23 11:20:00,11:20,728453
2021-04-23 11:30:00,11:30,1503679
2021-04-23 11:40:00,11:40,1004098
2021-04-23 11:50:00,11:50,1313284
2021-04-23 12:00:00,12:00,874214
2021-04-23 12:10:00,12:10,1118227
2021-04-23 12:20:00,12:20,926827
2021-04-23 12:30:00,12:30,713589
2021-04-23 12:40:00,12:40,424270
2021-04-23 12:50:00,12:50,774358
2021-04-23 13:00:00,13:00,847444
2021-04-23 13:10:00,13:10,520803
2021-04-23 13:20:00,13:20,596460
2021-04-23 13:30:00,13:30,362001
2021-04-23 13:40:00,13:40,393688
2021-04-23 13:50:00,13:50,366541
2021-04-23 14:00:00,14:00,726436
2021-04-23 14:10:00,14:10,566632
2021-04-23 14:20:00,14:20,393341
2021-04-23 14:30:00,14:30,1594469
2021-04-23 14:40:00,14:40,396148
2021-04-23 14:50:00,14:50,338528
2021-04-23 15:00:00,15:00,995540
2021-04-23 15:10:00,15:10,677814
2021-04-23 15:20:00,15:20,382668
2021-04-23 15:30:00,15:30,900669
2021-04-23 15:40:00,15:40,813296
2021-04-23 15:50:00,15:50,1187789
2021-04-23 16:00:00,16:00,2830689
2021-04-26 09:40:00,09:40,2199580
2021-04-26 09:50:00,09:50,1143455
2021-04-26 10:00:00,10:00,1459809
2021-04-26 10:10:00,10:10,744099
2021-04-26 10:20:00,10:20,767697
2021-04-26 10:30:00,10:30,407551
2021-04-26 10:40:00,10:40,1267535
2021-04-26 10:50:00,10:50,532192
2021-04-26 11:00:00,11:00,583383
2021-04-26 11:10:00,11:10,711386
2021-04-26 11:20:00,11:20,522690
2021-04-26 11:30:00,11:30,273422
2021-04-26 11:40:00,11:40,312393
2021-04-26 11:50:00,11:50,376152
2021-04-26 12:00:00,12:00,320839
2021-04-26 12:10:00,12:10,371226
2021-04-26 12:20:00,12:20,458892
2021-04-26 12:30:00,12:30,571396
2021-04-26 12:40:00,12:40,450651
2021-04-26 12:50:00,12:50,287537
2021-04-26 13:00:00,13:00,264838
2021-04-26 13:10:00,13:10,1280979
2021-04-26 13:20:00,13:20,272072
2021-04-26 13:30:00,13:30,471645
2021-04-26 13:40:00,13:40,775297
2021-04-26 13:50:00,13:50,477105
2021-04-26 14:00:00,14:00,485285
2021-04-26 14:10:00,14:10,649665
2021-04-26 14:20:00,14:20,308198
2021-04-26 14:30:00,14:30,516747
2021-04-26 14:40:00,14:40,387937
2021-04-26 14:50:00,14:50,622176
2021-04-26 15:00:00,15:00,271400
2021-04-26 15:10:00,15:10,499093
2021-04-26 15:20:00,15:20,380464
2021-04-26 15:30:00,15:30,826791
2021-04-26 15:40:00,15:40,1076584
2021-04-26 15:50:00,15:50,1371134
2021-04-26 16:00:00,16:00,1864070
2021-04-27 09:40:00,09:40,2249929
2021-04-27 09:50:00,09:50,1958512
2021-04-27 10:00:00,10:00,1724678
2021-04-27 10:10:00,10:10,1528197
2021-04-27 10:20:00,10:20,1814838
2021-04-27 10:30:00,10:30,826947
2021-04-27 10:40:00,10:40,1785325
2021-04-27 10:50:00,10:50,712902
2021-04-27 11:00:00,11:00,724913
2021-04-27 11:10:00,11:10,922073
2021-04-27 11:20:00,11:20,376262
2021-04-27 11:30:00,11:30,793289
2021-04-27 11:40:00,11:40,367332
2021-04-27 11:50:00,11:50,368172
2021-04-27 12:00:00,12:00,579858
2021-04-27 12:10:00,12:10,331127
2021-04-27 12:20:00,12:20,389823
2021-04-27 12:30:00,12:30,444498
2021-04-27 12:40:00,12:40,441715
2021-04-27 12:50:00,12:50,1279715
2021-04-27 13:00:00,13:00,365107
2021-04-27 13:10:00,13:10,313113
2021-04-27 13:20:00,13:20,569089
2021-04-27 13:30:00,13:30,286169
